total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_year
20.32,6.37,0.99,9.85,3.12,9.4,2013.0
19.39,6.06,0.6,9.71,3.02,9.7,2014.0
16.15,8.41,0.47,5.49,1.78,9.6,2002.0
15.86,9.06,0.06,5.33,1.42,7.5,2013.0
15.09,6.18,0.41,6.05,2.44,8.1,2015.0
14.82,9.07,0.13,4.29,1.33,8.7,2011.0
14.74,9.76,0.11,3.73,1.14,8.8,2010.0
13.94,5.26,0.21,6.21,2.26,9.8,2018.0
13.86,8.27,0.07,4.32,1.2,8.4,2012.0
13.8,4.99,0.65,5.88,2.28,8.0,2012.0
13.53,8.54,0.08,3.63,1.28,9.5,2009.0
13.4,4.67,0.4,6.21,2.12,8.1,2017.0
13.35,5.54,0.49,5.78,1.54,8.8,2011.0
13.1,6.99,0.3,4.51,1.3,9.5,2001.0
12.67,6.01,0.48,4.4,1.78,8.7,2010.0
11.8,1.27,0.15,8.64,1.73,8.3,2017.0
11.09,6.8,0.14,3.11,1.04,10.0,2008.0
10.94,1.26,0.12,7.95,1.61,8.9,2016.0
10.61,4.99,0.38,3.66,1.59,9.5,2009.0
10.57,4.79,0.44,3.73,1.62,10.0,2008.0
10.41,6.76,0.04,2.64,0.98,6.9,2013.0
10.13,4.11,0.39,4.01,1.62,7.5,2013.0
9.97,7.08,0.08,2.01,0.8,9.3,2010.0
9.96,6.72,0.04,2.36,0.83,7.5,2012.0
9.41,5.98,0.13,2.39,0.91,9.6,2007.0
9.32,4.05,0.5,3.28,1.49,7.5,2018.0
9.15,0.84,0.1,6.87,1.34,7.5,2018.0
8.88,5.1,0.1,2.83,0.85,9.3,2011.0
8.72,4.7,0.01,3.25,0.76,9.0,2014.0
8.48,3.11,0.19,3.83,1.36,7.9,2016.0
8.48,2.91,0.27,3.97,1.34,8.6,2015.0
8.22,1.15,0.07,5.77,1.23,8.5,2015.0
8.03,3.31,0.23,3.19,1.3,7.1,2015.0
8.01,1.07,0.13,5.13,1.68,7.5,2012.0
7.72,2.9,0.24,2.83,1.74,8.8,2005.0
7.53,2.84,0.14,3.34,1.22,8.5,2014.0
7.37,4.63,0.02,2.04,0.68,7.5,2015.0
7.35,4.47,0.06,2.12,0.69,8.5,2011.0
7.26,2.2,0.29,3.65,1.12,9.1,2016.0
7.21,2.86,0.35,2.94,1.07,8.5,2011.0
7.2,3.27,0.08,2.83,1.02,8.6,2003.0
6.9,2.71,0.08,3.02,1.09,8.3,2004.0
6.83,2.93,0.17,2.75,0.99,9.0,2002.0
6.74,3.28,0.21,2.22,1.02,9.5,2009.0
6.72,3.13,0.28,2.27,1.04,9.5,2007.0
6.65,0.84,0.11,4.33,1.37,9.2,2011.0
6.61,0.79,0.07,4.77,0.98,7.5,2013.0
6.57,2.82,0.17,2.58,1.0,9.5,2011.0
6.5,3.77,0.09,2.03,0.6,9.5,2010.0
6.5,2.65,0.16,2.61,1.08,8.8,2012.0
6.49,2.57,0.25,2.68,0.99,9.0,2011.0
6.33,1.89,0.35,3.13,0.96,9.4,2014.0
6.32,0.83,0.05,4.49,0.94,8.1,2014.0
6.27,3.11,0.02,2.8,0.33,8.5,1999.0
5.76,2.53,0.16,2.13,0.94,7.5,2014.0
5.74,2.26,1.36,1.89,0.23,9.1,1996.0
5.66,3.09,0.07,1.92,0.58,6.6,2006.0
5.57,2.54,0.21,1.95,0.86,9.0,2009.0
5.55,3.28,0.07,1.64,0.56,8.2,2007.0
5.54,2.72,0.11,1.89,0.82,9.6,2011.0
5.5,2.99,0.1,1.9,0.51,9.2,2009.0
5.42,2.07,0.24,2.29,0.82,6.9,2001.0
5.35,1.75,1.87,1.23,0.51,8.0,2010.0
5.31,3.13,0.03,1.71,0.45,7.5,2012.0
5.3,3.14,0.08,1.55,0.52,9.1,2009.0
5.24,2.3,0.2,2.46,0.28,7.6,1997.0
5.23,4.26,0.01,0.26,0.71,9.5,2003.0
5.22,3.25,0.01,1.49,0.48,8.3,2014.0
5.13,1.98,0.13,2.23,0.8,5.9,2003.0
5.13,3.37,0.02,1.26,0.48,9.3,2016.0
5.11,1.1,0.03,3.49,0.5,7.5,2012.0
5.1,1.63,0.44,2.46,0.57,7.0,2008.0
5.1,3.59,0.05,1.09,0.37,7.8,2010.0
5.1,1.96,1.08,1.42,0.64,8.6,2009.0
5.08,0.61,0.06,3.28,1.12,8.7,2010.0
5.08,1.7,0.16,2.03,1.19,8.4,2006.0
5.07,1.81,1.05,1.53,0.68,8.1,2016.0
5.03,2.94,0.02,1.62,0.45,8.4,2015.0
5.02,3.42,0.02,1.38,0.2,9.6,1999.0
4.98,3.49,0.01,0.01,1.48,8.2,2007.0
4.97,2.32,0.12,1.73,0.8,8.7,2007.0
4.96,3.41,0.09,0.99,0.46,9.0,2008.0
4.91,3.98,0.01,0.26,0.66,9.1,2005.0
4.83,1.91,0.09,2.01,0.82,8.2,2007.0
4.83,1.09,0.07,2.92,0.74,7.5,2017.0
4.79,2.57,0.44,1.57,0.21,9.2,1999.0
4.75,2.99,0.04,1.28,0.44,9.5,2011.0
4.73,2.36,0.02,2.1,0.25,7.0,2000.0
4.68,3.05,0.02,1.41,0.2,9.3,2000.0
4.67,1.94,0.08,1.95,0.7,8.3,2002.0
4.63,2.29,0.13,1.97,0.24,8.9,1996.0
4.6,2.08,0.06,1.98,0.49,9.1,2011.0
4.6,3.04,0.0,1.12,0.44,8.6,2007.0
4.56,0.59,0.04,3.25,0.68,6.9,2014.0
4.54,1.87,0.22,1.97,0.48,6.8,2009.0
4.54,1.84,0.17,1.8,0.73,8.8,2016.0
4.53,3.19,0.01,0.91,0.42,8.7,2007.0
4.53,1.7,0.12,1.99,0.73,7.5,2017.0
4.53,4.18,0.01,0.26,0.08,9.5,2004.0
4.48,2.71,0.03,1.51,0.23,8.2,2002.0
4.47,2.89,0.13,1.03,0.41,9.2,2009.0
4.41,2.66,0.01,1.29,0.46,9.1,2001.0
4.39,0.1,1.05,2.39,0.86,8.8,2007.0
4.37,1.49,0.16,2.04,0.69,7.5,2016.0
4.37,2.03,0.08,1.79,0.47,8.6,2005.0
4.37,2.64,0.01,1.33,0.39,5.6,2010.0
4.36,1.29,0.36,2.06,0.64,7.5,2015.0
4.34,2.81,0.0,1.13,0.41,9.1,2014.0
4.32,1.4,0.11,2.13,0.68,7.5,2014.0
4.28,2.26,0.07,1.33,0.63,9.0,2009.0
4.27,1.59,0.2,1.81,0.67,9.1,2014.0
4.24,3.0,0.05,1.11,0.07,7.5,2001.0
4.23,1.41,0.1,2.03,0.69,8.8,2011.0
4.22,2.28,0.04,1.47,0.44,7.9,2011.0
4.21,0.78,0.04,2.55,0.84,8.4,2005.0
4.19,2.04,0.59,1.05,0.52,9.3,2009.0
4.18,0.85,0.02,2.79,0.52,9.2,2011.0
4.17,1.79,0.05,1.64,0.69,7.5,2013.0
4.17,3.38,0.31,0.44,0.04,5.9,1989.0
4.15,0.94,0.01,2.92,0.29,7.5,2013.0
4.15,2.49,0.02,1.26,0.38,6.9,2015.0
4.14,3.36,0.01,0.21,0.56,9.4,2002.0
4.14,1.25,0.09,2.16,0.65,7.5,2014.0
4.14,1.92,0.1,1.44,0.69,7.5,2017.0
4.11,0.71,0.03,2.48,0.89,8.4,2006.0
4.11,1.65,0.11,1.68,0.66,8.1,2015.0
4.08,2.67,0.04,1.03,0.34,8.2,2010.0
4.06,2.12,0.05,1.47,0.42,4.2,2007.0
4.06,1.18,0.11,2.14,0.63,8.4,2014.0
4.06,1.22,0.11,2.11,0.63,7.5,2017.0
4.06,0.12,0.9,2.26,0.77,8.9,2006.0
4.05,2.35,0.03,1.27,0.41,9.1,2007.0
4.05,2.28,0.16,1.55,0.06,7.5,1997.0
4.05,1.68,0.51,1.51,0.35,8.7,2000.0
4.0,2.18,0.07,1.15,0.61,8.8,2008.0
3.98,2.56,0.05,0.66,0.71,8.7,2015.0
3.95,1.44,0.15,1.73,0.62,7.9,2018.0
3.94,1.4,0.19,1.74,0.62,8.3,2013.0
3.94,1.34,0.13,1.86,0.62,8.7,2013.0
3.9,2.29,0.01,1.17,0.42,8.7,2003.0
3.88,2.15,0.1,1.13,0.5,7.6,2010.0
3.85,0.16,1.12,1.89,0.68,9.3,2005.0
3.84,2.12,0.22,1.44,0.06,7.5,1996.0
3.75,1.4,0.1,1.4,0.86,8.5,2007.0
3.7,0.58,0.04,2.48,0.59,8.4,2004.0
3.67,2.13,0.01,1.18,0.35,9.6,2002.0
3.66,1.58,0.08,1.6,0.4,6.7,2007.0
3.65,2.53,0.06,0.81,0.24,8.0,2002.0
3.64,1.31,0.27,1.5,0.55,8.7,2013.0
3.64,2.08,0.15,1.09,0.33,9.0,2001.0
3.63,0.05,0.64,0.0,2.93,8.2,2008.0
3.63,0.6,0.05,2.46,0.52,9.0,2009.0
3.61,1.93,0.03,1.22,0.44,8.1,2004.0
3.6,0.9,0.08,2.06,0.55,8.6,2015.0
3.59,2.18,0.03,1.02,0.37,8.5,2005.0
3.58,2.34,0.0,0.9,0.34,7.5,2014.0
3.58,2.01,0.06,1.35,0.16,7.5,2000.0
3.58,1.6,0.1,1.49,0.39,6.9,2007.0
3.54,1.23,0.05,1.77,0.49,7.7,2003.0
3.54,1.66,0.12,1.58,0.18,8.2,1998.0
3.54,1.56,0.07,1.4,0.5,8.3,2006.0
3.54,2.16,0.02,1.05,0.32,8.7,2013.0
3.54,2.24,0.02,0.95,0.33,9.1,2009.0
3.53,2.13,0.12,0.93,0.34,8.6,2009.0
3.53,2.87,0.03,0.39,0.25,9.1,2010.0
3.53,1.98,0.01,1.14,0.41,7.9,2005.0
3.53,1.9,0.1,1.13,0.41,7.5,2001.0
3.52,0.71,0.02,2.39,0.4,8.7,2010.0
3.52,2.28,0.03,0.59,0.63,9.0,2016.0
3.49,0.59,0.04,2.36,0.51,8.0,2003.0
3.48,2.43,0.03,0.72,0.3,8.3,2009.0
3.48,2.11,0.04,1.01,0.33,9.0,2010.0
3.47,1.21,0.27,1.63,0.37,7.6,2009.0
3.46,2.1,0.01,1.01,0.35,7.1,2008.0
3.44,1.55,0.33,1.27,0.29,7.9,2002.0
3.44,2.06,0.03,1.04,0.31,8.8,2014.0
3.43,1.83,0.06,1.07,0.47,9.1,2011.0
3.43,0.62,0.12,2.18,0.51,7.5,2013.0
3.41,1.75,0.02,1.2,0.43,7.9,2004.0
3.4,0.46,0.05,2.28,0.61,7.5,2002.0
3.39,1.56,0.19,1.47,0.17,6.8,2000.0
3.36,1.24,0.08,1.5,0.54,8.3,2016.0
3.36,0.98,0.12,1.74,0.52,7.5,2016.0
3.34,1.9,0.01,1.14,0.3,8.5,2013.0
3.34,2.13,0.04,0.57,0.59,8.1,2017.0
3.33,1.45,0.12,1.29,0.46,7.5,2002.0
3.32,1.47,0.03,1.39,0.43,7.5,2005.0
3.31,1.99,0.05,1.05,0.22,8.1,2001.0
3.28,1.5,0.05,1.28,0.46,8.4,2003.0
3.27,0.51,0.31,1.59,0.86,7.5,2009.0
3.27,0.88,0.1,1.79,0.5,7.5,2012.0
3.27,1.89,0.02,1.05,0.31,7.5,2003.0
3.21,1.29,0.12,1.31,0.49,9.1,2011.0
3.2,1.76,0.07,1.21,0.16,8.7,2000.0
3.19,1.07,0.06,1.55,0.51,8.3,2013.0
